id,name,type,size,ram,cpu,disk,gpu,bandwidth,price,provider
1,a1.2xlarge,a1,2xlarge,16384,8,0,0,10,,AWS
2,a1.4xlarge,a1,4xlarge,32768,16,0,0,10,,AWS
3,a1.large,a1,large,4096,2,0,0,10,,AWS
4,a1.medium,a1,medium,2048,1,0,0,10,,AWS
5,a1.xlarge,a1,xlarge,8192,4,0,0,10,,AWS
6,c4.2xlarge,c4,2xlarge,15360,8,0,0,,0.398,AWS
7,c4.4xlarge,c4,4xlarge,30720,16,0,0,,0.796,AWS
8,c4.8xlarge,c4,8xlarge,61440,36,0,0,10,1.591,AWS
9,c4.large,c4,large,3840,2,0,0,,0.1,AWS
10,c4.xlarge,c4,xlarge,7680,4,0,0,,0.199,AWS
11,c5.12xlarge,c5,12xlarge,98304,48,0,0,12,,AWS
12,c5.18xlarge,c5,18xlarge,147456,72,0,0,25,3.06,AWS
13,c5.24xlarge,c5,24xlarge,196608,96,0,0,25,,AWS
14,c5.2xlarge,c5,2xlarge,16384,8,0,0,10,0.34,AWS
15,c5.4xlarge,c5,4xlarge,32768,16,0,0,10,0.68,AWS
16,c5.9xlarge,c5,9xlarge,73728,36,0,0,10,1.53,AWS
17,c5.large,c5,large,4096,2,0,0,10,0.085,AWS
18,c5.xlarge,c5,xlarge,8192,4,0,0,10,0.17,AWS
19,c5d.12xlarge,c5d,12xlarge,98304,48,1800,0,12,,AWS
20,c5d.18xlarge,c5d,18xlarge,147456,72,1800,0,25,3.456,AWS
21,c5d.24xlarge,c5d,24xlarge,196608,96,3600,0,25,,AWS
22,c5d.2xlarge,c5d,2xlarge,16384,8,200,0,10,0.384,AWS
23,c5d.4xlarge,c5d,4xlarge,32768,16,400,0,10,0.768,AWS
24,c5d.9xlarge,c5d,9xlarge,73728,36,900,0,10,1.728,AWS
25,c5d.large,c5d,large,4096,2,50,0,10,0.096,AWS
26,c5d.xlarge,c5d,xlarge,8192,4,100,0,10,0.192,AWS
27,c5n.18xlarge,c5n,18xlarge,196608,72,0,0,100,,AWS
28,c5n.2xlarge,c5n,2xlarge,21504,8,0,0,25,,AWS
29,c5n.4xlarge,c5n,4xlarge,43008,16,0,0,25,,AWS
30,c5n.9xlarge,c5n,9xlarge,98304,36,0,0,50,,AWS
31,c5n.large,c5n,large,5376,2,0,0,25,,AWS
32,c5n.xlarge,c5n,xlarge,10752,4,0,0,25,,AWS
33,d2.2xlarge,d2,2xlarge,62464,8,12000,0,,1.38,AWS
34,d2.4xlarge,d2,4xlarge,124928,16,24000,0,,2.76,AWS
